epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,90.30833333333334,89.27,0.7046452298959096,0.3505672127008438
2,94.735,93.54,0.21845444352130095,0.23097179904580117
3,95.38,94.29,0.16668771650195122,0.210358826816082
4,96.79333333333334,95.36,0.1417863452374935,0.17427127584815025
5,96.89833333333333,95.54,0.12076097674419482,0.16609884575009345
6,97.24833333333333,95.67,0.10444423418094714,0.1647686630487442
7,97.74166666666666,95.88,0.09351953426996867,0.155451338365674
8,97.83166666666666,96.09,0.08392745485777656,0.1550563931465149
9,98.00833333333334,96.21,0.07418124778158963,0.15928239263594152
10,98.21333333333334,96.16,0.06881315071458619,0.15914217606186867
11,98.22833333333334,96.24,0.0636901352348427,0.16549586355686188
12,98.22333333333333,96.32,0.05791845545656979,0.1620465762913227
13,98.40166666666667,96.07,0.05389860356474916,0.16976126059889793
14,98.78666666666666,96.45,0.04913500503972173,0.166447689011693
15,98.78666666666666,96.38,0.0454898650786529,0.16702378094196318
16,98.015,95.54,0.04224103035740554,0.19699667468667031
17,99.02,96.26,0.03933386674063901,0.16785281300544738
18,99.09333333333333,96.44,0.034170487803655364,0.17159838303923608
19,99.16,96.4,0.034440287955477836,0.17343645095825194
20,99.195,96.39,0.031099493050637344,0.17038425132632257
