epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,92.86166666666666,92.33,0.820634046514829,0.2640765056014061
2,94.67166666666667,93.9,0.22424149624705314,0.21723854392766953
3,95.51,94.72,0.18279345134496688,0.19352952986955643
4,95.03166666666667,93.93,0.15523270763158797,0.2165890008211136
5,96.33166666666666,95.01,0.13673243763347467,0.1883580069988966
6,96.41833333333334,95.13,0.12334011685152849,0.17384119443595408
7,96.47333333333333,94.98,0.11306916947066784,0.18388037830591203
8,97.19833333333334,95.32,0.10278291400671005,0.1770316943526268
9,97.41833333333334,95.64,0.09383126027335724,0.17064336277544498
10,97.83,95.9,0.08877758308748404,0.15501890890300274
11,97.875,95.84,0.08335504581530889,0.16361176632344723
12,97.87166666666667,96.05,0.07964974339703719,0.16543299555778504
13,97.625,95.7,0.07345014129579067,0.17778340466320514
14,98.07833333333333,95.78,0.06951157832071185,0.17079611718654633
15,98.02,95.9,0.06565197480147084,0.172574058547616
16,98.485,96.09,0.061094356851776443,0.17804260663688182
17,98.36166666666666,95.98,0.05867814325504005,0.17939050905406476
18,98.34833333333333,96.03,0.05621568641457707,0.18107583560049534
19,98.59833333333333,96.15,0.052022661541899044,0.16748728714883326
20,98.70666666666666,96.16,0.050558805411309006,0.17537023350596428
21,98.54666666666667,96.06,0.04750603843837355,0.18500388748943805
22,98.87333333333333,96.2,0.045619376958347856,0.17850446067750453
23,98.775,96.2,0.04416919178183501,0.18669219985604285
24,98.835,96.14,0.04234105985394369,0.1814035691320896
25,99.015,96.17,0.04019683915358037,0.18515768237411975
26,99.05666666666667,96.09,0.03909868836111079,0.19177468195557595
27,99.07,96.17,0.03711075395851707,0.19298595637083055
28,99.045,96.18,0.03559314717279437,0.19811070635914801
29,99.13333333333334,96.13,0.0341185018099534,0.2005435086786747
30,99.11666666666666,96.1,0.031962532745550075,0.20572634786367416
31,99.28666666666666,96.19,0.030831237701574962,0.20854809507727623
32,99.11333333333333,95.98,0.02956512979765733,0.2207532398402691
33,99.31,95.89,0.02905907955405613,0.21645667552947997
34,99.30166666666666,95.99,0.027784883336909115,0.2222116470336914
35,99.27333333333333,96.0,0.02709875647147031,0.22876620665192604
36,99.27166666666666,95.91,0.02475835061899076,0.22636344879865647
37,99.26,95.96,0.024622848481467615,0.23911023885011673
38,99.24666666666667,96.09,0.02399595401159798,0.2345464177429676
39,99.50666666666666,96.08,0.023347716491110622,0.23430018983781337
40,99.495,95.93,0.02128185786989828,0.23951817452907562
41,99.5,95.89,0.02038035366043914,0.24814654439687728
42,99.50166666666667,95.88,0.020173124946265792,0.25032310709357264
43,99.60666666666667,96.05,0.018983711993655502,0.24767513796687127
44,99.51166666666667,95.79,0.01786166180089737,0.2559741847217083
