0,1,2,3,4,5,6,7,8,9
961,1,3,0,1,1,6,3,2,2
1,1120,4,2,1,1,2,1,3,0
9,8,972,15,4,2,2,7,12,1
0,0,10,966,1,10,0,5,9,9
1,0,5,0,938,0,9,5,2,22
8,1,2,7,1,854,9,2,6,2
6,2,1,0,9,11,925,0,4,0
0,5,9,5,8,2,0,983,3,13
4,1,17,10,5,3,4,4,918,8
2,4,1,6,16,4,0,11,8,957
