0,1,2,3,4,5,6,7,8,9
964,1,2,0,0,3,3,2,2,3
1,1124,3,1,1,0,1,0,4,0
3,2,996,8,3,1,6,8,3,2
0,0,9,969,0,12,0,7,3,10
1,0,4,0,951,2,4,3,2,15
3,2,1,13,1,856,5,2,6,3
6,5,2,1,9,9,922,0,4,0
1,5,8,8,3,3,0,996,0,4
5,0,5,5,7,6,2,4,934,6
2,4,2,8,16,6,1,7,4,959
