epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,93.785,93.25,0.6269105576515198,0.24669792726635933
2,95.14666666666666,94.64,0.21757060072223344,0.19934359043836594
3,95.84666666666666,94.77,0.16912529991467795,0.20051152482628823
4,96.60666666666667,94.91,0.14220575068295002,0.18629502579569818
5,96.80666666666667,95.44,0.12014788118079305,0.19160700663924218
6,96.71333333333334,95.21,0.10852221160506209,0.183488230407238
7,97.37666666666667,96.01,0.09716019990593194,0.16903896518051625
8,97.63,96.03,0.08772866887561977,0.1629905853420496
9,97.93333333333334,96.11,0.07974436579917868,0.16170250065624714
10,97.905,95.88,0.07327139468789101,0.16882111318409443
11,97.985,95.95,0.06675356090801457,0.17619488351047038
12,98.45166666666667,96.24,0.05995866945112745,0.16551554948091507
13,98.61,96.15,0.05530829748014609,0.1697294782847166
14,98.615,96.35,0.05189305569306016,0.17231655716896058
15,98.77833333333334,96.21,0.047151291944769524,0.17595078572630882
16,98.76833333333333,96.15,0.041453318049975985,0.189235482737422
17,99.06833333333333,96.41,0.03882351394697713,0.18022900223731994
18,99.02,96.46,0.03659107535947114,0.1817470971494913
19,99.06666666666666,96.43,0.03410176545275996,0.1899970918893814
20,99.10166666666667,96.35,0.0310837052651681,0.1932162955403328
21,99.31666666666666,96.34,0.029141561964899303,0.19578020237386226
22,99.32166666666667,96.2,0.026466584456370523,0.19241239428520202
23,99.24333333333334,96.25,0.025790787624412528,0.20451103076338767
24,99.43166666666667,96.35,0.022745075323122244,0.20252629294991492
25,99.27166666666666,96.33,0.02063565703781011,0.2118529561907053
26,99.58,96.44,0.019372957823223746,0.20820443108677864
27,99.585,96.41,0.017171508979735274,0.21109845638275146
28,99.50166666666667,96.22,0.016938891897160406,0.22119729667901994
29,99.67833333333333,96.49,0.01588971975905976,0.21431798338890076
30,99.69,96.37,0.015027561735955533,0.2163803018629551
31,99.64666666666666,96.48,0.014272045274567791,0.2172538548707962
32,99.77,96.42,0.012492703393924361,0.22455399185419084
33,99.71333333333334,96.43,0.011211808323087947,0.22643150240182877
34,99.77,96.32,0.010738212721492163,0.22772755548357965
35,99.82833333333333,96.45,0.01027472105655664,0.2265343800187111
36,99.75833333333334,96.23,0.010069126712818009,0.23652884662151336
37,99.77333333333333,96.55,0.009572112266245918,0.22763846814632416
38,99.83666666666667,96.59,0.00945023835116978,0.23343261927366257
39,99.86,96.63,0.00795782325778855,0.23787794075906277
40,99.82,96.62,0.007624221695913972,0.23629462756216527
41,99.86666666666666,96.61,0.007732858684948102,0.2352561965584755
42,99.86666666666666,96.54,0.007167778744113942,0.24136464893817902
43,99.905,96.65,0.006422433699350222,0.23988645672798156
44,99.89666666666666,96.72,0.0056569773366422545,0.24424590021371842
45,99.88833333333334,96.52,0.005544831979743321,0.24537103101611138
46,99.91666666666667,96.66,0.00520903374539533,0.24661757946014404
47,99.91166666666666,96.74,0.004967487804710011,0.2500779330730438
48,99.92333333333333,96.75,0.004710202717140783,0.25148906335234644
49,99.88166666666666,96.62,0.004536011381718951,0.2525010548532009
50,99.92166666666667,96.65,0.004253126187932988,0.2544160559773445
51,99.94,96.73,0.003994976636929399,0.2515236385166645
52,99.93833333333333,96.72,0.0037729324669087266,0.2592501983046532
53,99.93666666666667,96.7,0.003719782774843528,0.25969034880399705
54,99.94166666666666,96.7,0.0035167144532885384,0.25837765634059906
55,99.945,96.68,0.003407515867104424,0.26066575199365616
56,99.945,96.69,0.003209419330989476,0.26157696917653084
57,99.94833333333334,96.71,0.003072138577933947,0.26302540451288225
58,99.95,96.72,0.0029378630707607954,0.26438200995326044
59,99.95333333333333,96.77,0.0028167203846359676,0.26614558771252633
60,99.95,96.62,0.0027724161362159064,0.2682583749294281
61,99.95333333333333,96.64,0.0027001597112995416,0.27094463258981705
62,99.95333333333333,96.66,0.0025926192049102004,0.27125088721513746
63,99.955,96.69,0.0025399851186550223,0.2722341500222683
64,99.95333333333333,96.74,0.0024491421364085304,0.27095318734645846
65,99.955,96.68,0.0023863437417438642,0.27444711700081825
66,99.95833333333333,96.71,0.0023494434294387854,0.2725808218121529
67,99.95666666666666,96.75,0.002292770046349809,0.27592516914010046
68,99.95833333333333,96.78,0.002253620110494133,0.27533428743481636
69,99.96,96.73,0.0021737456542197226,0.2776297055184841
70,99.95666666666666,96.76,0.0021269245287321003,0.27783340513706206
71,99.95833333333333,96.74,0.0020958121536221977,0.27879899814724923
72,99.95833333333333,96.69,0.002068911369150252,0.2802786439657211
73,99.96,96.71,0.0020072377423372622,0.28011911287903785
74,99.96333333333334,96.74,0.001993540269932661,0.2797016628086567
75,99.96166666666667,96.76,0.001938958768927902,0.28246685937047006
76,99.96166666666667,96.71,0.0019181290474996786,0.28272086679935454
77,99.96166666666667,96.72,0.001879541920201397,0.2833333894610405
78,99.96166666666667,96.75,0.0018493932471579076,0.28599319607019424
79,99.96166666666667,96.75,0.0018246340893858966,0.2847800306975842
80,99.96166666666667,96.77,0.0018001947221356507,0.28510568514466283
81,99.96666666666667,96.76,0.0017734672052339496,0.2877824634313583
82,99.96333333333334,96.76,0.001752770217284827,0.2863084152340889
83,99.96,96.7,0.0017505656818296606,0.28680646866559983
84,99.96333333333334,96.8,0.001717917294713455,0.28610358834266664
85,99.96666666666667,96.76,0.0016744406448036897,0.2896738454699516
86,99.96333333333334,96.76,0.0016449379646501256,0.290294648706913
87,99.96666666666667,96.69,0.001638111693780229,0.2921615749597549
88,99.96833333333333,96.7,0.0016529077231571137,0.29264431074261665
89,99.96833333333333,96.77,0.0015980748424917692,0.29367630928754807
90,99.96666666666667,96.77,0.0015579155634433846,0.2938802644610405
91,99.96833333333333,96.73,0.0015551476006815696,0.29327479004859924
92,99.97,96.72,0.0015210205570139806,0.29378077015280724
93,99.96666666666667,96.77,0.001538548878897503,0.2930203951895237
94,99.96833333333333,96.76,0.0015165615980571603,0.2962066926062107
95,99.96666666666667,96.74,0.0014807641544318357,0.29574859961867334
96,99.96666666666667,96.72,0.0014484734902027413,0.29715459048748016
97,99.96833333333333,96.71,0.001434977339175263,0.29870203956961633
98,99.96833333333333,96.73,0.001425388043727859,0.2978612773120403
99,99.96833333333333,96.74,0.001406119879881165,0.29762680009007453
100,99.96833333333333,96.71,0.0013964239550567073,0.3001610614359379
