epoch, lr                   , train_accuracy   , test_accuracy, train_loss         , test_loss          , sat_low             , sat_high
    1, 0.004                , 20.23            ,         20.73, 2.3020822491963706 , 2.2104751110076903 , 0.062084902077913284, 0.06154970824718475
    2, 0.008                , 39.78            ,         41.09, 2.084982151031494  , 1.9402300238609314 , 0.06123669818043709 , 0.06055062636733055
    3, 0.012                , 56.43833333333333,         57.51, 1.818362792523702  , 1.6572620272636414 , 0.06008824333548546 , 0.059259552508592606
    4, 0.016                , 68.66            ,         69.44, 1.5589465167363485 , 1.4119754791259767 , 0.0586920827627182  , 0.05758791044354439
    5, 0.02                 , 75.65333333333334,         76.49, 1.3385431522369384 , 1.2002292990684509 , 0.05716230720281601 , 0.05574588105082512
    6, 0.02                 , 79.38666666666667,         80.18, 1.1777408452351887 , 1.0770265817642213 , 0.055803678929805756, 0.054100509732961655
    7, 0.01992311833781616  , 81.41833333333334,         82.39, 1.0671401195208232 , 0.9825301766395569 , 0.05459817498922348 , 0.0525752417743206
    8, 0.019693685821004153 , 83.01166666666667,         84.13, 0.9867712518056234 , 0.9190298438072204 , 0.05344746634364128 , 0.051178328692913055
    9, 0.019315320737410453 , 84.195           ,         85.27, 0.9278184296607971 , 0.8591756820678711 , 0.052423615008592606, 0.04986398667097092
   10, 0.01879399013042767  , 84.98            ,         86.01, 0.8803744428634643 , 0.8184614956378937 , 0.051453057676553726, 0.04872153699398041
   11, 0.01813791569515574  , 85.54333333333334,         86.72, 0.8440379664738973 , 0.7835770308971405 , 0.05052828788757324 , 0.047612112015485764
   12, 0.017357444117358765 , 86.18            ,         87.34, 0.8135303281466166 , 0.7559279561042785 , 0.0497063547372818  , 0.04659051075577736
   13, 0.016464883900049725 , 86.55833333333334,         87.72, 0.7900953534762064 , 0.7293076276779175 , 0.0490097738802433  , 0.045663490891456604
   14, 0.015474311251045217 , 86.77666666666667,         87.88, 0.7686057335535685 , 0.7149209201335907 , 0.04832670837640762 , 0.0448235422372818
   15, 0.01440134809275946  , 86.76166666666667,         88.01, 0.7516181145350138 , 0.7052135646343232 , 0.047702938318252563, 0.04410744830965996
   16, 0.013262915695155739 , 87.09166666666667,         88.25, 0.7385386180241903 , 0.6847033977508545 , 0.04716549068689346 , 0.043457407504320145
   17, 0.012076967817210817 , 87.19166666666666,         88.28, 0.7255119182904561 , 0.6860856920480728 , 0.0466708280146122  , 0.04289218410849571
   18, 0.010862207565410807 , 87.515           ,         88.64, 0.7152792384147644 , 0.6723646491765976 , 0.04625873640179634 , 0.042403530329465866
   19, 0.009637792434589195 , 87.70333333333333,         88.89, 0.7078861595789592 , 0.6601882368326187 , 0.045861657708883286, 0.041952405124902725
   20, 0.008423032182789185 , 87.86833333333334,         88.92, 0.7008827006340027 , 0.6503157526254654 , 0.04550736024975777 , 0.041596606373786926
   21, 0.007237084304844266 , 87.8             ,         88.99, 0.6954258049329122 , 0.6515336841344833 , 0.04524839669466019 , 0.04129710793495178
