0,1,2,3,4,5,6,7,8,9
962,0,1,0,0,4,8,1,4,0
0,1114,2,2,0,1,4,0,12,0
10,9,919,15,16,0,16,17,27,3
3,3,16,922,1,19,5,19,15,7
2,5,4,0,916,0,8,1,4,42
8,4,6,33,9,781,17,5,20,9
7,3,5,0,8,10,923,2,0,0
3,23,23,3,9,0,1,933,3,30
4,7,11,25,12,18,13,10,862,12
9,8,4,11,32,2,1,18,8,916
