0,1,2,3,4,5,6,7,8,9
964,0,0,1,0,3,9,1,2,0
0,1112,3,2,1,0,3,0,14,0
12,4,919,13,16,0,12,18,33,5
2,2,12,931,1,18,2,13,20,9
1,2,3,0,923,0,14,2,5,32
10,3,1,29,6,800,13,5,18,7
11,3,3,0,9,11,919,0,2,0
1,14,22,3,10,0,0,944,3,31
5,2,4,15,12,13,10,9,892,12
9,8,3,10,36,5,1,10,8,919
