epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,93.65333333333334,93.12,0.6311686120450497,0.22733424454927445
2,94.605,93.47,0.2089350811938445,0.21723695024847983
3,96.00166666666667,94.94,0.16372403765022756,0.18624565228819848
4,96.47,95.05,0.1375859623581171,0.17470095083117484
5,96.99166666666666,95.51,0.118306006325533,0.16476102471351622
6,97.34666666666666,95.71,0.1037447669689854,0.16143673099577427
7,97.37,95.46,0.09229078533922633,0.17259622924029827
8,97.9,96.0,0.0813269410247604,0.16028033681213855
9,97.53,95.51,0.07327912190755208,0.17503428980708122
10,98.235,96.04,0.06678882985052963,0.16539978347718715
11,98.33333333333333,95.99,0.06021578071179489,0.16511148810386658
12,98.54333333333334,96.03,0.054109322257712485,0.16891197599470614
13,98.84,96.52,0.050975909461267295,0.16676045022904873
14,98.69666666666667,96.03,0.04569670048716168,0.1823507871478796
15,98.91833333333334,96.34,0.04193575478121638,0.17525578998029231
16,99.165,96.38,0.03926312557011843,0.1689210195094347
17,98.88,95.95,0.0357144715372473,0.1845224566757679
18,99.29666666666667,96.34,0.0324750031699116,0.17916279695928097
19,99.15,96.6,0.02998116137444352,0.18230119124054908
20,98.97333333333333,95.94,0.0277348693607375,0.20678824409842492
