0,1,2,3,4,5,6,7,8,9
968,0,0,2,1,1,3,1,3,1
0,1123,2,2,0,1,3,0,4,0
3,8,983,16,3,0,8,4,7,0
0,2,5,976,0,11,0,5,8,3
4,4,5,0,938,0,6,4,4,17
3,4,0,33,0,832,10,0,7,3
13,3,1,0,9,6,921,0,4,1
1,9,14,5,1,0,1,989,1,7
5,7,3,21,3,2,4,6,920,3
2,8,1,10,18,3,0,17,6,944
