epoch,lr,train_accuracy,test_accuracy,train_loss,test_loss,sat_low,sat_high
1,0.004,18.908333333333335,20.33,2.3480054571787514,2.236027145385742,0.061563219875097275,0.062089405953884125
2,0.008,38.77166666666667,40.05,2.1061125465393067,1.9424899339675903,0.0608268566429615,0.0611901581287384
3,0.012,58.56333333333333,60.12,1.807923182296753,1.6338865518569947,0.059792496263980865,0.06010550633072853
4,0.016,71.11833333333334,72.17,1.5229843593597412,1.3560696721076966,0.05856597423553467,0.058711595833301544
5,0.02,77.67833333333333,78.75,1.2880984130541484,1.1523860931396483,0.05726514384150505,0.057215601205825806
6,0.02,81.02,81.91,1.121942610836029,1.0151944696903228,0.05608891695737839,0.05585471913218498
7,0.01992311833781616,82.77166666666666,83.8,1.0100189128875732,0.9229035794734954,0.05496898293495178,0.0545891672372818
8,0.019693685821004153,83.87,84.8,0.9314398486773173,0.8593066930770874,0.05396464839577675,0.05349625647068024
9,0.019315320737410453,84.89166666666667,85.86,0.8716820542017619,0.8033893704414368,0.05301886051893234,0.052502430975437164
10,0.01879399013042767,85.655,86.73,0.8257797260284424,0.7602346539497375,0.0521669015288353,0.05157315731048584
11,0.01813791569515574,86.06,87.11,0.7894209765434265,0.735332977771759,0.05137274041771889,0.0506754107773304
12,0.017357444117358765,86.56833333333333,87.7,0.7595147317886353,0.7011263936758041,0.05061085894703865,0.049836963415145874
13,0.016464883900049725,86.855,87.9,0.7355743709246317,0.6794574916362762,0.049945052713155746,0.04909609630703926
14,0.015474311251045217,87.11666666666666,88.27,0.7155106520970662,0.6650838047266007,0.04933929815888405,0.04841077700257301
15,0.01440134809275946,87.315,88.27,0.6975875427563986,0.6492702692747117,0.04875906556844711,0.04777274653315544
16,0.013262915695155739,87.60666666666667,88.63,0.6838482126235962,0.6390315890312195,0.048252396285533905,0.047279585152864456
17,0.012076967817210817,87.81666666666666,88.82,0.6723681295394898,0.6274780571460724,0.04783429577946663,0.04679543152451515
18,0.010862207565410807,87.81666666666666,88.81,0.6631372577667236,0.6170269250869751,0.04742295667529106,0.04636082053184509
19,0.009637792434589195,88.17666666666666,89.19,0.6536162313143412,0.606015881896019,0.047093432396650314,0.04595698416233063
20,0.008423032182789185,88.19333333333333,89.09,0.6470454622586568,0.6011528730392456,0.046830713748931885,0.04561319947242737
21,0.007237084304844266,88.34333333333333,89.1,0.6415349508603414,0.5939298748970032,0.04658976197242737,0.04534823074936867
22,0.0060986519072405414,88.13166666666666,89.2,0.6373780836105347,0.5988066583871842,0.04636232182383537,0.04510427638888359
23,0.0050256887489547805,88.40833333333333,89.36,0.6322318701108297,0.592188510298729,0.046218954026699066,0.04490385949611664
24,0.0040351160999502755,88.27333333333333,89.12,0.6298569828033447,0.5901178270578384,0.04607633501291275,0.04476424306631088
25,0.0031425558826412396,88.35166666666667,89.34,0.6273970145543416,0.5890921533107758,0.04597499966621399,0.04463363438844681
26,0.0023620843048442635,88.53333333333333,89.4,0.6263574456532797,0.5793035089969635,0.0458909310400486,0.04453530162572861
27,0.00170600986957233,88.60166666666667,89.53,0.6242973042805989,0.5793652623891831,0.045836884528398514,0.04446924850344658
28,0.0011846792625895494,88.40333333333334,89.4,0.623845996761322,0.5896475136280059,0.04579785466194153,0.044415201991796494
29,0.0008063141789958481,88.38166666666666,89.46,0.6233363944689433,0.5869457751512528,0.045775335282087326,0.04438217356801033
30,0.0005768816621838418,88.55666666666667,89.48,0.623975321483612,0.5813017696142196,0.045749813318252563,0.0443619079887867
31,0.02,88.71333333333334,89.62,0.6156460741360982,0.5722836166620254,0.04511178284883499,0.043624795973300934
32,0.01992311833781616,88.86833333333334,89.88,0.6048744237581889,0.5557135999202728,0.04448501020669937,0.04287867620587349
33,0.019693685821004153,88.98,90.01,0.5941309190750123,0.5481779545545578,0.0438619926571846,0.04215582460165024
34,0.019315320737410453,89.25166666666667,90.12,0.5850545179367066,0.5387365818023682,0.043281007558107376,0.04152755066752434
35,0.01879399013042767,89.225,90.15,0.5761567346254984,0.5353459775447845,0.04277133569121361,0.04091504216194153
36,0.01813791569515574,89.32333333333334,90.19,0.5694060928344726,0.525555408000946,0.04223689064383507,0.04031229019165039
37,0.017357444117358765,89.48166666666667,90.29,0.5623313174724579,0.5194345593452454,0.0417347215116024,0.03977258875966072
38,0.016464883900049725,89.49333333333334,90.33,0.5562998804092407,0.5186836868524551,0.04128434881567955,0.03925615921616554
39,0.015474311251045217,89.76333333333334,90.48,0.5497560075759887,0.5056646287441253,0.04084598273038864,0.038767505437135696
40,0.01440134809275946,89.89166666666667,90.66,0.5453193453947703,0.4998765289783478,0.04047742486000061,0.03832913935184479
41,0.013262915695155739,89.94666666666667,90.74,0.5415416379928589,0.49641382694244385,0.04013514146208763,0.037942565977573395
42,0.012076967817210817,89.90333333333334,90.77,0.5358394710063934,0.4946917206048965,0.039819881319999695,0.037607040256261826
43,0.010862207565410807,89.98166666666667,90.78,0.5333837486743928,0.496002322435379,0.039554908871650696,0.037312041968107224
44,0.009637792434589195,90.075,90.88,0.5299836545944214,0.4872579604387283,0.03932521864771843,0.03704331815242767
45,0.008423032182789185,90.225,90.86,0.5270436256726583,0.48731306493282317,0.039112791419029236,0.03682413697242737
46,0.007237084304844266,90.08833333333334,90.88,0.5257515236536662,0.4864665150642395,0.03894690424203873,0.0366477407515049
47,0.0060986519072405414,90.15333333333334,90.72,0.5226440186818441,0.4861945301294327,0.03879902884364128,0.03649010881781578
48,0.0050256887489547805,90.20333333333333,91.0,0.5230629195531209,0.48320012986660005,0.03867968171834946,0.036348991096019745
49,0.0040351160999502755,90.12,90.9,0.5210321863174439,0.48150184750556946,0.03858735412359238,0.03624165430665016
50,0.0031425558826412396,90.14,90.95,0.5200713458379109,0.48182423412799835,0.03850403428077698,0.03614557161927223
51,0.0023620843048442635,90.20333333333333,90.88,0.5197423871040344,0.47918741106987,0.03845899552106857,0.03606750816106796
52,0.00170600986957233,90.20666666666666,91.07,0.5183625783602397,0.4776436179876328,0.03841696307063103,0.03602021932601929
53,0.0011846792625895494,90.18,91.02,0.5182703208923339,0.4797706067562103,0.038395944982767105,0.035984188318252563
54,0.0008063141789958481,90.265,90.99,0.5180780625025432,0.47633754909038545,0.03837868198752403,0.03595566377043724
55,0.0005768816621838418,90.2,90.85,0.5181822737375895,0.4778964251279831,0.03836141526699066,0.03593689948320389
56,0.02,90.28666666666666,91.09,0.5151228414535522,0.4725880116224289,0.03788777068257332,0.03543022647500038
57,0.01992311833781616,90.41833333333334,91.17,0.5103092171510061,0.46964068412780763,0.03747493028640747,0.034945324063301086
58,0.019693685821004153,90.43833333333333,91.13,0.5062045208295186,0.46392740309238434,0.03704181686043739,0.034498702734708786
59,0.019315320737410453,90.52166666666666,91.28,0.5007638902346293,0.4640749454498291,0.036630477756261826,0.03399653360247612
60,0.01879399013042767,90.74333333333334,91.35,0.4976494298775991,0.45440789461135866,0.03621988371014595,0.033582188189029694
61,0.01813791569515574,90.645,91.35,0.4935656127293905,0.45301837027072905,0.035830311477184296,0.033172350376844406
62,0.017357444117358765,90.72333333333333,91.23,0.4916173729896545,0.45363294780254365,0.03549252822995186,0.032801538705825806
63,0.016464883900049725,90.78,91.49,0.48638305139541627,0.4468236953020096,0.03514498844742775,0.032454002648591995
64,0.015474311251045217,90.755,91.51,0.48410076583226525,0.4471883922815323,0.0348762683570385,0.03215600177645683
65,0.01440134809275946,90.84666666666666,91.57,0.4814309937477112,0.4446482598781586,0.03460904583334923,0.03186025843024254
66,0.013262915695155739,90.87833333333333,91.51,0.47905419416427614,0.4417605400085449,0.03433806821703911,0.03160729631781578
67,0.012076967817210817,91.01,91.6,0.47652473533948264,0.43429601192474365,0.03411212936043739,0.031383611261844635
68,0.010862207565410807,90.90666666666667,91.47,0.47497938130696615,0.4371296316385269,0.03394249081611633,0.0311666801571846
69,0.009637792434589195,91.14333333333333,91.62,0.47330614643096924,0.4299367144703865,0.033765342086553574,0.030961759388446808
70,0.008423032182789185,91.08166666666666,91.6,0.47159688625335694,0.42978197485208514,0.033614467829465866,0.03081613779067993
71,0.007237084304844266,91.11333333333333,91.6,0.47001974051793416,0.4298891380429268,0.03348836302757263,0.030673520639538765
72,0.0060986519072405414,91.10333333333334,91.58,0.46815117845535276,0.43052766025066375,0.03337576985359192,0.030550416558980942
73,0.0050256887489547805,91.12,91.73,0.467679860941569,0.4286445677280426,0.0332939513027668,0.030467098578810692
74,0.0040351160999502755,91.22,91.83,0.46729258270263674,0.4307627871632576,0.033232398331165314,0.030395038425922394
75,0.0031425558826412396,91.22333333333333,91.76,0.4676272186756134,0.42451106756925583,0.03317835554480553,0.030333487316966057
76,0.0023620843048442635,91.25666666666666,91.86,0.4663143749713898,0.4260432332754135,0.03313181549310684,0.030290700495243073
77,0.00170600986957233,91.10666666666667,91.77,0.46600666637420657,0.42764641642570494,0.03310178965330124,0.03026367910206318
78,0.0011846792625895494,91.19666666666667,91.8,0.46537293725013734,0.4275710925459862,0.03308077156543732,0.030241910368204117
79,0.0008063141789958481,91.10333333333334,91.79,0.4654851191520691,0.430165046453476,0.033068012446165085,0.030220894142985344
80,0.0005768816621838418,91.14,91.74,0.4654154789129893,0.43373728096485137,0.03305525332689285,0.030211886391043663
81,0.02,91.18833333333333,91.67,0.4641891618092855,0.42353074103593824,0.0327264778316021,0.029844829812645912
82,0.01992311833781616,91.205,91.81,0.4595060009161631,0.4252180516719818,0.03237668797373772,0.029506299644708633
83,0.019693685821004153,91.34333333333333,91.86,0.45753057750066123,0.4165519207715988,0.03205541893839836,0.029168518260121346
84,0.019315320737410453,91.32333333333334,91.84,0.45508718810081483,0.4152414783835411,0.03175666928291321,0.02884950302541256
85,0.01879399013042767,91.41833333333334,91.91,0.4523059843937556,0.41444540619850156,0.031469933688640594,0.028560511767864227
