0,1,2,3,4,5,6,7,8,9
963,0,1,0,0,3,6,2,4,1
0,1120,3,1,0,1,2,1,7,0
2,2,993,10,4,2,3,6,9,1
2,1,10,963,0,15,0,5,6,8
1,0,5,1,944,1,2,2,2,24
6,3,0,16,3,841,4,6,10,3
8,4,2,0,9,12,913,2,8,0
2,5,13,7,0,2,0,986,3,10
6,1,5,11,1,7,5,5,927,6
3,3,0,5,16,5,1,9,5,962
