epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,92.94166666666666,92.48,0.7414132484674454,0.26405039727687835
2,94.32333333333334,93.31,0.22520661735335987,0.24389090314507483
3,95.5,94.57,0.1797601755231619,0.20178536102175712
4,96.095,94.85,0.15213116106837987,0.18552203550934793
5,96.30666666666667,95.0,0.13375877239704131,0.18743685632944107
6,96.83666666666667,95.16,0.12063241988271475,0.18584042079746724
7,96.50666666666666,95.02,0.10954029685407878,0.1888364687561989
8,97.345,95.58,0.10154534249578913,0.17022178508341312
9,97.545,95.77,0.09310683253655831,0.1657030053436756
10,97.88666666666667,96.02,0.08478581903104981,0.1622690636664629
11,97.9,95.82,0.07780306275164088,0.1703777726739645
12,98.16,95.98,0.07151845977318784,0.16655376851558684
13,98.15833333333333,95.97,0.0674830292356511,0.1728362761437893
14,98.14833333333333,95.84,0.061850536560143034,0.17758996821939946
15,98.36166666666666,95.87,0.05967032258398831,0.1807720422744751
16,98.51,96.03,0.055185837388721605,0.171816848218441
17,98.72166666666666,96.08,0.051296915629257755,0.1706953328102827
18,98.63,96.15,0.048951871578519546,0.17704538628458977
19,98.59833333333333,95.95,0.044976898075267675,0.1833031687885523
20,98.56833333333333,96.04,0.04240951870108644,0.18252650499343873
