0,1,2,3,4,5,6,7,8,9
963,0,1,0,0,4,9,1,2,0
0,1114,2,2,1,2,4,0,10,0
11,2,918,19,17,4,11,16,29,5
3,1,12,931,0,23,4,14,16,6
1,3,3,0,921,1,12,1,5,35
9,2,1,24,4,811,15,3,16,7
12,3,3,2,9,12,915,0,2,0
3,17,25,3,8,0,1,935,3,33
6,4,6,18,10,19,10,8,883,10
10,7,2,10,37,7,1,9,7,919
